商談ID,会社名,業種,担当営業,商談ステージ,予想受注日,売上見込額(円),受注確度,初回接触日,最終接触日,流入経路,エリア,従業員規模,決裁者役職,優先度,次回アクション,備考
S-2026-101,株式会社旭商事,建設,水野美月,課題整理,2026-02-11,680000,45%,2026-01-06,2026-01-28,展示会,関西,100-299名,課長,A,トライアル開始,拠点展開を検討
S-2026-102,株式会社青空企画,医療,石井蒼,失注,2026-02-26,1200000,0%,2026-01-08,2026-02-02,SNS,中国,1-49名,執行役員,B,失注理由整理,他社採用
S-2026-103,株式会社北斗サービス,小売,西村凛,見積提出,2026-01-29,3680000,55%,2026-01-10,2026-01-16,展示会,九州,300-999名,支店長,C,役員向け説明,拠点展開を検討
S-2026-104,株式会社中央開発,金融,佐伯拓海,初回商談,2026-03-19,850000,30%,2026-01-12,2026-02-06,SNS,関東,50-99名,部長,A,見積再提出,補助金活用予定
S-2026-105,株式会社大和不動産,人材,長谷川葵,受注,2026-03-09,680000,100%,2026-01-14,2026-02-03,展示会,北海道,1000名以上,本部長,B,導入スケジュール確認,契約締結済み
S-2026-106,株式会社東洋建設,介護,藤原湊,提案,2026-01-30,1200000,65%,2026-01-16,2026-01-18,SNS,中部,100-299名,代表取締役,C,次回訪問設定,補助金活用予定
S-2026-107,株式会社南星オフィス,アパレル,福田結菜,初回接触,2026-03-07,3120000,15%,2026-01-18,2026-01-27,展示会,四国,1-49名,マネージャー,A,決裁者ヒアリング,拠点展開を検討
S-2026-108,株式会社白樺システム,印刷,黒田蓮,稟議中,2026-03-05,1200000,80%,2026-01-20,2026-01-22,SNS,東北,300-999名,課長,B,競合比較資料送付,補助金活用予定
S-2026-109,株式会社虹ヶ丘製作所,商社,村上紬,課題整理,2026-03-28,1980000,45%,2026-01-22,2026-02-15,展示会,関西,50-99名,執行役員,C,トライアル開始,拠点展開を検討
S-2026-110,株式会社未来デザイン,IT,小川陽斗,失注,2026-03-09,3120000,0%,2026-01-24,2026-02-02,SNS,中国,1000名以上,支店長,A,失注理由整理,優先度低下
S-2026-111,株式会社光和工業,建設,水野美月,見積提出,2026-02-14,4200000,55%,2026-01-26,2026-01-28,展示会,九州,100-299名,部長,B,役員向け説明,拠点展開を検討
S-2026-112,株式会社新日本フーズ,医療,石井蒼,初回商談,2026-03-12,1450000,30%,2026-01-28,2026-02-12,SNS,関東,1-49名,本部長,C,見積再提出,補助金活用予定
S-2026-113,株式会社桜井印刷,小売,西村凛,受注,2026-02-25,1680000,100%,2026-01-30,2026-02-05,展示会,北海道,300-999名,代表取締役,A,導入スケジュール確認,契約締結済み
S-2026-114,株式会社海王パートナーズ,金融,佐伯拓海,提案,2026-02-18,1980000,65%,2026-02-01,2026-02-06,SNS,中部,50-99名,マネージャー,B,次回訪問設定,補助金活用予定
S-2026-115,株式会社山吹物流,人材,長谷川葵,初回接触,2026-03-09,1680000,15%,2026-02-03,2026-02-08,展示会,四国,1000名以上,課長,C,決裁者ヒアリング,拠点展開を検討
S-2026-116,株式会社若葉ソリューションズ,介護,藤原湊,稟議中,2026-03-21,680000,80%,2026-02-05,2026-02-26,SNS,東北,100-299名,執行役員,A,競合比較資料送付,補助金活用予定
S-2026-117,株式会社銀河ネットワーク,アパレル,福田結菜,課題整理,2026-04-09,2580000,45%,2026-02-07,2026-03-04,展示会,関西,1-49名,支店長,B,トライアル開始,拠点展開を検討
S-2026-118,株式会社高原テック,印刷,黒田蓮,失注,2026-03-17,850000,0%,2026-02-09,2026-02-14,SNS,中国,300-999名,部長,C,失注理由整理,優先度低下
S-2026-119,株式会社翠メディカル,商社,村上紬,見積提出,2026-04-04,3120000,55%,2026-02-11,2026-03-05,展示会,九州,50-99名,本部長,A,役員向け説明,拠点展開を検討
S-2026-120,株式会社飛鳥エナジー,IT,小川陽斗,初回商談,2026-03-04,680000,30%,2026-02-13,2026-02-21,SNS,関東,1000名以上,代表取締役,B,見積再提出,補助金活用予定
